央视频道,#genre#
四川卫视,http://222.185.98.96:888/rtp/239.49.0.59:8464
天津卫视,http://171.14.89.243:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://101.74.28.209:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://183.131.246.250:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://221.224.197.251:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://114.222.251.120:4023/rtp/239.49.8.35:8620
天津卫视,http://60.168.244.54:8888/rtp/238.1.78.20:6088
天津卫视,http://220.169.100.41:10087/rtp/239.76.253.185:9000
天津卫视,http://222.185.98.96:888/rtp/239.49.1.46:6000
天津卫视,http://222.185.98.96:888/rtp/239.49.0.62:8488
宁夏卫视,http://101.66.195.105:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://101.66.199.251:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://171.14.89.243:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://123.174.106.183:8888/rtp/239.1.1.56:8056
宁夏卫视,http://222.185.98.96:888/rtp/239.49.1.237:6000
安徽卫视,http://101.66.199.251:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://101.66.195.105:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://221.13.235.209:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://123.52.14.64:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://119.130.241.9:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://116.233.38.0:8888/rtp/239.45.1.120:5140
安徽卫视,http://112.193.69.160:8888/rtp/239.0.0.65:5140
安徽卫视,http://222.185.98.96:888/rtp/239.49.1.36:6000
安徽卫视,http://222.185.98.96:888/rtp/239.49.0.52:8408
安阳新闻综合,http://221.13.235.209:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://101.66.199.251:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://101.66.195.105:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://101.74.28.209:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://123.52.14.64:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://123.174.106.183:8888/rtp/239.1.1.47:8047
山东卫视,http://114.222.251.120:4023/rtp/239.49.8.7:9306
山东卫视,http://220.169.100.41:10087/rtp/239.76.253.195:9000
山东卫视,http://120.197.253.254:1818/rtp/239.20.0.172:2142
山东卫视,http://222.185.98.96:888/rtp/239.49.1.37:6000
山东卫视,http://222.185.98.96:888/rtp/239.49.0.53:8416
山西卫视,http://101.66.199.251:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://101.66.195.105:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://125.43.244.1:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://222.185.98.96:888/rtp/239.49.1.51:6000
山西卫视,http://222.185.98.96:888/rtp/239.49.0.67:8528
